epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9056.7,1.32673,1.01013,1.4627,0.88657,0.8661,0.91182,0.56993,1.38088,0.67932,1.5816,0.005842,0.005842,0.005842
44,9267.8,1.33354,1.0023,1.45714,0.87754,0.8697,0.90876,0.57328,1.36584,0.67961,1.56708,0.005743,0.005743,0.005743
45,9478.14,1.31517,1.00127,1.45318,0.87673,0.87885,0.91688,0.58135,1.3766,0.66772,1.57574,0.005644,0.005644,0.005644
46,9687.92,1.31579,0.98083,1.44607,0.88328,0.85618,0.91046,0.57689,1.37091,0.67507,1.57264,0.005545,0.005545,0.005545
47,9896.78,1.30941,0.9779,1.45179,0.88116,0.8778,0.91688,0.58213,1.35382,0.6661,1.5717,0.005446,0.005446,0.005446
48,10106.3,1.3066,0.98394,1.44566,0.88471,0.8794,0.91722,0.58105,1.35988,0.66199,1.57955,0.005347,0.005347,0.005347
49,10316.8,1.30997,0.97515,1.44961,0.88029,0.87069,0.91295,0.58094,1.36852,0.67124,1.57533,0.005248,0.005248,0.005248
50,10527,1.30593,0.96435,1.4447,0.90264,0.86824,0.91903,0.58128,1.36307,0.65758,1.56582,0.005149,0.005149,0.005149
51,10736.6,1.30127,0.9682,1.44038,0.89421,0.87474,0.91885,0.57948,1.36941,0.65613,1.57721,0.00505,0.00505,0.00505
52,10947.4,1.28809,0.9527,1.43442,0.90158,0.87748,0.92529,0.58663,1.36194,0.64788,1.56587,0.004951,0.004951,0.004951
53,11149.4,1.27831,0.93637,1.4336,0.90458,0.87399,0.92033,0.58688,1.35879,0.64937,1.57135,0.004852,0.004852,0.004852
54,11363.2,1.28677,0.92965,1.42459,0.90122,0.87744,0.91753,0.58752,1.35432,0.64434,1.56179,0.004753,0.004753,0.004753
55,11563.9,1.27451,0.92538,1.41734,0.89594,0.87444,0.9175,0.58689,1.35891,0.64491,1.56737,0.004654,0.004654,0.004654
56,11762.5,1.2733,0.91453,1.42243,0.90022,0.87732,0.91845,0.5898,1.35722,0.63618,1.57273,0.004555,0.004555,0.004555
57,11960.7,1.27269,0.91252,1.41567,0.88773,0.87837,0.92181,0.58988,1.35106,0.63216,1.56447,0.004456,0.004456,0.004456
58,12160.9,1.2749,0.91499,1.41945,0.89582,0.86741,0.92018,0.59328,1.34955,0.63701,1.56306,0.004357,0.004357,0.004357
59,12367.8,1.26934,0.92377,1.42003,0.89568,0.87375,0.92473,0.59423,1.34608,0.6308,1.56134,0.004258,0.004258,0.004258
60,12574.1,1.26185,0.8824,1.4022,0.89322,0.89097,0.92673,0.59587,1.35594,0.6235,1.57023,0.004159,0.004159,0.004159
61,12785.2,1.25861,0.8832,1.40558,0.89764,0.87925,0.92444,0.59413,1.34523,0.6243,1.56063,0.00406,0.00406,0.00406
62,12997.3,1.24929,0.89498,1.40535,0.90825,0.87625,0.92492,0.59773,1.33633,0.6242,1.55325,0.003961,0.003961,0.003961
63,13200.3,1.24837,0.88271,1.39991,0.88998,0.89607,0.9257,0.59459,1.35156,0.62135,1.56705,0.003862,0.003862,0.003862
64,13408.8,1.24277,0.88259,1.4011,0.89768,0.88366,0.92775,0.59534,1.34666,0.62061,1.55753,0.003763,0.003763,0.003763
65,13623.7,1.25142,0.87327,1.40177,0.89692,0.88384,0.92593,0.59428,1.34873,0.61882,1.55875,0.003664,0.003664,0.003664
66,13838.8,1.23683,0.86279,1.38795,0.89725,0.88248,0.92584,0.59698,1.33969,0.61776,1.55579,0.003565,0.003565,0.003565
67,14049.7,1.23589,0.86124,1.39038,0.89696,0.87971,0.92437,0.59887,1.33651,0.62409,1.55345,0.003466,0.003466,0.003466
